dataset,dataset_type,scenario,model,horizon,mae_baseline,mae_hardened,mae_hardened_no_area,mae_delta_hardened_minus_baseline,mae_delta_hardened_minus_hardened_no_area,rmse_baseline,rmse_hardened,rmse_hardened_no_area,rmse_delta_hardened_minus_baseline,rmse_delta_hardened_minus_hardened_no_area,crps_approx_baseline,crps_approx_hardened,crps_approx_hardened_no_area,crps_approx_delta_hardened_minus_baseline,crps_approx_delta_hardened_minus_hardened_no_area,coverage95_baseline,coverage95_hardened,coverage95_hardened_no_area,coverage95_delta_hardened_minus_baseline,coverage95_delta_hardened_minus_hardened_no_area,mean_interval_width_baseline,mean_interval_width_hardened,mean_interval_width_hardened_no_area,mean_interval_width_delta_hardened_minus_baseline,mean_interval_width_delta_hardened_minus_hardened_no_area,calibration_error_baseline,calibration_error_hardened,calibration_error_hardened_no_area,calibration_error_delta_hardened_minus_baseline,calibration_error_delta_hardened_minus_hardened_no_area
__ALL_SYNTHETIC__,synthetic,prior_10_12_with_killer,llambo_style,1,2.8072,2.6445,2.6445,-0.1627,+0.0000,4.4072,4.2994,4.2994,-0.1078,+0.0000,2.2513,2.0417,2.0417,-0.2096,+0.0000,0.8472,0.9444,0.9444,+0.0972,+0.0000,10.2508,13.8263,13.8263,+3.5755,+0.0000,0.0972,0.0840,0.0840,-0.0132,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_10_12_with_killer,llambo_style,2,3.2281,2.8767,2.8767,-0.3514,+0.0000,4.9329,4.2942,4.2942,-0.6387,+0.0000,2.6632,2.1623,2.1623,-0.5009,+0.0000,0.7391,0.9130,0.9130,+0.1739,+0.0000,10.3158,14.4906,14.4906,+4.1748,+0.0000,0.1425,0.1006,0.1006,-0.0419,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_10_12_with_killer,llambo_style,3,3.8104,3.2407,3.2407,-0.5697,+0.0000,5.6522,4.5788,4.5788,-1.0734,+0.0000,3.1469,2.3677,2.3677,-0.7792,+0.0000,0.7121,0.9242,0.9242,+0.2121,+0.0000,9.8655,14.0050,14.0050,+4.1395,+0.0000,0.1582,0.1465,0.1465,-0.0117,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_10_12_with_killer,llambo_style,4,4.2325,3.7076,3.7076,-0.5249,+0.0000,6.2061,5.1580,5.1580,-1.0481,+0.0000,3.5786,2.7133,2.7133,-0.8653,+0.0000,0.6508,0.8254,0.8254,+0.1746,+0.0000,9.4158,13.2039,13.2039,+3.7881,+0.0000,0.1684,0.2037,0.2037,+0.0353,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_10_12_with_killer,llambo_style,5,4.2105,4.2461,4.2461,+0.0356,+0.0000,6.7688,5.4673,5.4673,-1.3015,+0.0000,3.6797,3.0747,3.0747,-0.6050,+0.0000,0.6500,0.7667,0.7667,+0.1167,+0.0000,8.9017,12.8866,12.8866,+3.9849,+0.0000,0.1796,0.2352,0.2352,+0.0556,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_10_12_with_killer,llambo_style,6,4.1232,4.4754,4.4754,+0.3522,+0.0000,5.7877,5.7419,5.7419,-0.0458,+0.0000,3.4901,3.2588,3.2588,-0.2313,+0.0000,0.6316,0.6842,0.6842,+0.0526,+0.0000,8.2982,12.3931,12.3931,+4.0949,+0.0000,0.1784,0.3090,0.3090,+0.1306,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_10_12_with_killer,llambo_style,all,3.6968,3.4786,3.4786,-0.2182,+0.0000,5.6310,4.9116,4.9116,-0.7194,+0.0000,3.0975,2.5675,2.5675,-0.5300,+0.0000,0.7106,0.8501,0.8501,+0.1395,+0.0000,9.5640,13.5171,13.5171,+3.9531,+0.0000,0.1520,0.1701,0.1701,+0.0181,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_3_5_with_killer,llambo_style,1,2.8122,2.4966,2.4966,-0.3156,+0.0000,4.3836,4.0629,4.0629,-0.3207,+0.0000,2.2096,2.0083,2.0083,-0.2013,+0.0000,0.8889,0.9306,0.9306,+0.0417,+0.0000,13.9552,15.7409,15.7409,+1.7857,+0.0000,0.1080,0.0901,0.0901,-0.0179,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_3_5_with_killer,llambo_style,2,3.2550,2.5749,2.5749,-0.6801,+0.0000,4.8986,3.7694,3.7694,-1.1292,+0.0000,2.5487,1.9770,1.9770,-0.5717,+0.0000,0.8696,0.9565,0.9565,+0.0869,+0.0000,14.3421,16.2628,16.2628,+1.9207,+0.0000,0.1715,0.0858,0.0858,-0.0857,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_3_5_with_killer,llambo_style,3,3.8816,2.7040,2.7040,-1.1776,+0.0000,5.6045,3.7134,3.7134,-1.8911,+0.0000,2.9802,2.0217,2.0217,-0.9585,+0.0000,0.8333,0.9545,0.9545,+0.1212,+0.0000,13.9489,15.8521,15.8521,+1.9032,+0.0000,0.1886,0.0936,0.0936,-0.0950,+0.0000
